Case Name;Cores;Mesh Quality;Phyngs Type;Phyngs Amount;Setup Time, ms;Solving Time, ms;Error
m75c12phh30;12;75;heaters;30;4708;41425;
m75c12phh35;12;75;heaters;35;5377;46639;
m75c12phh40;12;75;heaters;40;6158;52268;
m75c12phh45;12;75;heaters;45;6759;55653;
m75c12phh50;12;75;heaters;50;7336;58841;
m51c12phh1;12;51;heaters;1;748;4776;
m51c12phh5;12;51;heaters;5;946;7816;
m51c12phh10;12;51;heaters;10;1068;11528;
m51c12phh15;12;51;heaters;15;1354;13729;
m51c12phh20;12;51;heaters;20;1569;16441;
m51c12phh25;12;51;heaters;25;1867;19150;
m51c12phh30;12;51;heaters;30;2144;21655;
m51c12phh35;12;51;heaters;35;2343;25461;
m51c12phh40;12;51;heaters;40;2632;26892;
m51c12phh45;12;51;heaters;45;2993;30059;
m51c12phh50;12;51;heaters;50;3332;33298;
m59c12phh1;12;59;heaters;1;915;5911;
m59c12phh5;12;59;heaters;5;1146;10478;
m59c12phh10;12;59;heaters;10;1393;14757;
m59c12phh15;12;59;heaters;15;1795;18520;
m59c12phh20;12;59;heaters;20;2013;22771;
m59c12phh25;12;59;heaters;25;2374;24987;
m59c12phh30;12;59;heaters;30;2721;27895;
m59c12phh35;12;59;heaters;35;3087;33889;
m59c12phh40;12;59;heaters;40;3488;36480;
m59c12phh45;12;59;heaters;45;3938;40739;
m59c12phh50;12;59;heaters;50;4177;41053;
m67c12phh1;12;67;heaters;1;1383;9182;
m67c12phh5;12;67;heaters;5;1676;14081;
m67c12phh10;12;67;heaters;10;2085;18227;
m67c12phh15;12;67;heaters;15;2386;21596;
m67c12phh20;12;67;heaters;20;2886;26734;
m67c12phh25;12;67;heaters;25;3279;29737;
m67c12phh30;12;67;heaters;30;3651;33609;
m67c12phh35;12;67;heaters;35;4321;37900;
m67c12phh40;12;67;heaters;40;4694;43591;
m67c12phh45;12;67;heaters;45;5191;48157;
m67c12phh50;12;67;heaters;50;5776;46050;
m75c12phh1;12;75;heaters;1;1904;12926;
m75c12phh5;12;75;heaters;5;2339;19525;
m75c12phh10;12;75;heaters;10;2814;24980;
m75c12phh15;12;75;heaters;15;3222;29718;
m75c12phh20;12;75;heaters;20;3764;33186;
m75c12phh25;12;75;heaters;25;4271;37997;
m75c12phh30;12;75;heaters;30;4792;41329;
m75c12phh35;12;75;heaters;35;5555;48924;
m75c12phh40;12;75;heaters;40;6154;52003;
m75c12phh45;12;75;heaters;45;6794;56819;
m75c12phh50;12;75;heaters;50;7471;59670;
